Team,Opponent,Team Score,Opponent Score
Blue Jays,Mariners,3,1
Blue Jays,Mariners,4,8
Blue Jays,Mariners,3,8
Blue Jays,Mariners,6,3
Blue Jays,Mariners,6,3
Blue Jays,Mariners,9,1
Blue Jays,Dodgers,1,5
Blue Jays,Dodgers,1,9
Blue Jays,Dodgers,5,4
Blue Jays,Brewers,2,7
Blue Jays,Brewers,1,4
Blue Jays,Brewers,8,4
Brewers,Mariners,6,0
Brewers,Mariners,0,1
Brewers,Mariners,10,2
Brewers,Blue Jays,7,2
Brewers,Blue Jays,4,1
Brewers,Blue Jays,4,8
Brewers,Dodgers,9,1
Brewers,Dodgers,3,1
Brewers,Dodgers,3,1
Brewers,Dodgers,2,0
Brewers,Dodgers,8,7
Brewers,Dodgers,6,5
Dodgers,Brewers,1,9
Dodgers,Brewers,1,3
Dodgers,Brewers,1,3
Dodgers,Brewers,0,2
Dodgers,Brewers,7,8
Dodgers,Brewers,5,6
Dodgers,Blue Jays,5,1
Dodgers,Blue Jays,9,1
Dodgers,Blue Jays,4,5
Dodgers,Mariners,3,2
Dodgers,Mariners,5,3
Dodgers,Mariners,6,1
Mariners,Dodgers,2,3
Mariners,Dodgers,3,5
Mariners,Dodgers,1,6
Mariners,Brewers,0,6
Mariners,Brewers,1,0
Mariners,Brewers,2,10
Mariners,Blue Jays,1,3
Mariners,Blue Jays,8,4
Mariners,Blue Jays,8,3
Mariners,Blue Jays,3,6
Mariners,Blue Jays,3,6
Mariners,Blue Jays,1,9
