year,teamID,franchID,lgID,name,wins,losses,runs_scored,runs_allowed,nl_winner,al_winner,ws_winner,ws_game_wins,series_length
1903,BOS,BOS,AL,Boston Americans,91,47,708,504,0,1,1,5,8
1903,PIT,PIT,NL,Pittsburgh Pirates,91,49,793,613,1,0,0,3,8
1905,NY1,SFG,NL,New York Giants,105,48,780,505,1,0,1,4,5
1905,PHA,OAK,AL,Philadelphia Athletics,92,56,623,488,0,1,0,1,5
1906,CHA,CHW,AL,Chicago White Sox,93,58,570,460,0,1,1,4,6
1906,CHN,CHC,NL,Chicago Cubs,116,36,704,381,1,0,0,2,6
1907,CHN,CHC,NL,Chicago Cubs,107,45,574,390,1,0,1,4,4
1907,DET,DET,AL,Detroit Tigers,92,58,693,531,0,1,0,0,4
1908,CHN,CHC,NL,Chicago Cubs,99,55,624,461,1,0,1,4,5
1908,DET,DET,AL,Detroit Tigers,90,63,647,547,0,1,0,1,5
1909,PIT,PIT,NL,Pittsburgh Pirates,110,42,699,447,1,0,1,4,7
1909,DET,DET,AL,Detroit Tigers,98,54,666,493,0,1,0,3,7
1910,PHA,OAK,AL,Philadelphia Athletics,102,48,674,442,0,1,1,4,5
1910,CHN,CHC,NL,Chicago Cubs,104,50,712,499,1,0,0,1,5
1911,PHA,OAK,AL,Philadelphia Athletics,101,50,861,601,0,1,1,4,6
1911,NY1,SFG,NL,New York Giants,99,54,756,542,1,0,0,2,6
1912,BOS,BOS,AL,Boston Red Sox,105,47,799,544,0,1,1,4,7
1912,NY1,SFG,NL,New York Giants,103,48,823,571,1,0,0,3,7
1913,PHA,OAK,AL,Philadelphia Athletics,96,57,794,592,0,1,1,4,5
1913,NY1,SFG,NL,New York Giants,101,51,684,515,1,0,0,1,5
1914,BSN,ATL,NL,Boston Braves,94,59,657,548,1,0,1,4,4
1914,PHA,OAK,AL,Philadelphia Athletics,99,53,749,529,0,1,0,0,4
1915,BOS,BOS,AL,Boston Red Sox,101,50,669,499,0,1,1,4,5
1915,PHI,PHI,NL,Philadelphia Phillies,90,62,589,463,1,0,0,1,5
1916,BOS,BOS,AL,Boston Red Sox,91,63,550,480,0,1,1,4,5
1916,BRO,LAD,NL,Brooklyn Robins,94,60,585,471,1,0,0,1,5
1917,CHA,CHW,AL,Chicago White Sox,100,54,656,464,0,1,1,4,6
1917,NY1,SFG,NL,New York Giants,98,56,635,457,1,0,0,2,6
1918,BOS,BOS,AL,Boston Red Sox,75,51,474,380,0,1,1,4,6
1918,CHN,CHC,NL,Chicago Cubs,84,45,538,393,1,0,0,2,6
1919,CIN,CIN,NL,Cincinnati Reds,96,44,577,401,1,0,1,5,8
1919,CHA,CHW,AL,Chicago White Sox,88,52,667,534,0,1,0,3,8
1920,CLE,CLE,AL,Cleveland Indians,98,56,857,642,0,1,1,5,7
1920,BRO,LAD,NL,Brooklyn Robins,93,61,660,528,1,0,0,2,7
1921,NY1,SFG,NL,New York Giants,94,59,840,637,1,0,1,5,8
1921,NYA,NYY,AL,New York Yankees,98,55,948,708,0,1,0,3,8
1922,NY1,SFG,NL,New York Giants,93,61,852,658,1,0,1,4,4
1922,NYA,NYY,AL,New York Yankees,94,60,758,618,0,1,0,0,4
1923,NYA,NYY,AL,New York Yankees,98,54,823,622,0,1,1,4,6
1923,NY1,SFG,NL,New York Giants,95,58,854,679,1,0,0,2,6
1924,WS1,MIN,AL,Washington Senators,92,62,755,613,0,1,1,4,7
1924,NY1,SFG,NL,New York Giants,93,60,857,641,1,0,0,3,7
1925,PIT,PIT,NL,Pittsburgh Pirates,95,58,912,715,1,0,1,4,7
1925,WS1,MIN,AL,Washington Senators,96,55,829,670,0,1,0,3,7
1926,SLN,STL,NL,St. Louis Cardinals,89,65,817,678,1,0,1,4,7
1926,NYA,NYY,AL,New York Yankees,91,63,847,713,0,1,0,3,7
1927,NYA,NYY,AL,New York Yankees,110,44,975,599,0,1,1,4,4
1927,PIT,PIT,NL,Pittsburgh Pirates,94,60,817,659,1,0,0,0,4
1928,NYA,NYY,AL,New York Yankees,101,53,894,685,0,1,1,4,4
1928,SLN,STL,NL,St. Louis Cardinals,95,59,807,636,1,0,0,0,4
1929,PHA,OAK,AL,Philadelphia Athletics,104,46,901,615,0,1,1,4,5
1929,CHN,CHC,NL,Chicago Cubs,98,54,982,758,1,0,0,1,5
1930,PHA,OAK,AL,Philadelphia Athletics,102,52,951,751,0,1,1,4,6
1930,SLN,STL,NL,St. Louis Cardinals,92,62,1004,784,1,0,0,2,6
1931,SLN,STL,NL,St. Louis Cardinals,101,53,815,614,1,0,1,4,7
1931,PHA,OAK,AL,Philadelphia Athletics,107,45,858,626,0,1,0,3,7
1932,NYA,NYY,AL,New York Yankees,107,47,1002,724,0,1,1,4,4
1932,CHN,CHC,NL,Chicago Cubs,90,64,720,633,1,0,0,0,4
1933,NY1,SFG,NL,New York Giants,91,61,636,515,1,0,1,4,5
1933,WS1,MIN,AL,Washington Senators,99,53,850,665,0,1,0,1,5
1934,SLN,STL,NL,St. Louis Cardinals,95,58,799,656,1,0,1,4,7
1934,DET,DET,AL,Detroit Tigers,101,53,958,708,0,1,0,3,7
1935,DET,DET,AL,Detroit Tigers,93,58,919,665,0,1,1,4,6
1935,CHN,CHC,NL,Chicago Cubs,100,54,847,597,1,0,0,2,6
1936,NYA,NYY,AL,New York Yankees,102,51,1065,731,0,1,1,4,6
1936,NY1,SFG,NL,New York Giants,92,62,742,621,1,0,0,2,6
1937,NYA,NYY,AL,New York Yankees,102,52,979,671,0,1,1,4,5
1937,NY1,SFG,NL,New York Giants,95,57,732,602,1,0,0,1,5
1938,NYA,NYY,AL,New York Yankees,99,53,966,710,0,1,1,4,4
1938,CHN,CHC,NL,Chicago Cubs,89,63,713,598,1,0,0,0,4
1939,NYA,NYY,AL,New York Yankees,106,45,967,556,0,1,1,4,4
1939,CIN,CIN,NL,Cincinnati Reds,97,57,767,595,1,0,0,0,4
